@relation 'climate-change-7-weka.filters.unsupervised.attribute.Add-TNOM-NCategorize-LLow,Medium,High-Clast-weka.filters.unsupervised.attribute.Copy-Rfirst-3,5,6-10,last-weka.filters.unsupervised.attribute.Remove-R36-45-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Add-TNOM-NCategorize-LVery Low,Low,Medium,High,Very High-Clast-weka.filters.unsupervised.attribute.Remove-R2,10-11,13-18,25-27,29-30'

@attribute 'Country name' {Aruba,Andorra,Afghanistan,Angola,Albania,'United Arab Emirates',Argentina,Armenia,'American Samoa','Antigua and Barbuda',Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,'Burkina Faso',Bangladesh,Bulgaria,Bahrain,Bahamas,'Bosnia and Herzegovina',Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,'Brunei Darussalam',Bhutan,Botswana,'Central African Republic',Canada,Switzerland,'Channel Islands',Chile,China,'Cote d Ivoire',Cameroon,Congo,'Cook Islands',Colombia,Comoros,'Cape Verde','Costa Rica',Cuba,Curacao,'Cayman Islands',Cyprus,'Czech Republic',Germany,Djibouti,Dominica,Denmark,'Dominican Republic',Algeria,'East Asia & Pacific','Europe & Central Asia',Ecuador,Egypt,'Euro area',Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,'Faeroe Islands',Micronesia,Gabon,'United Kingdom',Georgia,Ghana,Gibraltar,Guinea,Gambia,Guinea-Bissau,'Equatorial Guinea',Greece,Grenada,Greenland,Guatemala,Guam,Guyana,'High income','Hong Kong',Honduras,Croatia,Haiti,Hungary,Indonesia,'Isle of Man',India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,'Kyrgyz Republic',Cambodia,Kiribati,'St. Kitts and Nevis',Korea,Kosovo,Kuwait,'Latin America & Caribbean','Lao PDR',Lebanon,Liberia,Libya,'St. Lucia','Low income',Liechtenstein,'Sri Lanka','Lower middle income','Low & middle income',Lesotho,Lithuania,Luxembourg,Latvia,Macao,'St. Martin (French part)',Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,'Marshall Islands','Middle income',Macedonia,Mali,Malta,Myanmar,'Middle East & North Africa',Montenegro,Mongolia,'Northern Mariana Islands',Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Mayotte,Namibia,'New Caledonia',Niger,Nigeria,Nicaragua,Niue,Netherlands,Norway,Nepal,Nauru,'New Zealand',Oman,Pakistan,Panama,Peru,Philippines,Palau,'Papua New Guinea',Poland,'Puerto Rico',Portugal,Paraguay,'French Polynesia',Qatar,Romania,'Russian Federation',Rwanda,'South Asia','Saudi Arabia',Sudan,Senegal,Singapore,'Small island developing states','Solomon Islands','Sierra Leone','El Salvador','San Marino',Somalia,Serbia,'Sub-Saharan Africa','Sao Tome and Principe',Suriname,'Slovak Republic',Slovenia,Sweden,Swaziland,'Sint Maarten (Dutch part)',Seychelles,'Syrian Arab Republic','Turks and Caicos Islands',Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,'Trinidad and Tobago',Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,'Upper middle income',Uruguay,'United States',Uzbekistan,'St. Vincent and the Grenadines',Venezuela,'Virgin Islands (U.S.)',Vietnam,Vanuatu,'West Bank and Gaza',World,Samoa,Yemen,'South Africa','Dem. Rep. Congo',Zambia,Zimbabwe}
@attribute 'Cereal yield (kg per hectare)' numeric
@attribute 'Foreign direct investment net inflows (percent of GDP)' numeric
@attribute 'Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $)' numeric
@attribute 'Energy use per capita (kilograms of oil equivalent)' numeric
@attribute 'CO2 emissions total (KtCO2)' numeric
@attribute 'CO2 emissions per capita (metric tons)' numeric
@attribute 'CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $)' numeric
@attribute 'Nationally terrestrial protected areas (percent of total land area)' numeric
@attribute 'GDP ($)' numeric
@attribute 'GNI per capita (Atlas $)' numeric
@attribute 'Ratio of girls to boys in primary & secondary school (percent)' numeric
@attribute 'Primary completion rate total (percent of relevant age group)' numeric
@attribute 'Under-five mortality rate (per 1000)' numeric
@attribute 'Access to improved water source (percent of total pop.)' numeric
@attribute 'Access to improved sanitation (percent of total pop.)' numeric
@attribute 'Population growth (annual percent)' numeric
@attribute Population numeric
@attribute 'Urban population growth (annual percent)' numeric
@attribute 'Urban population' numeric
@attribute Categorize {'Very Low',Low,Medium,High,'Very High'}

@data
Bermuda,?,0.864715,?,?,388.702,6.054548,?,5.568932,6067898000,?,?,?,?,?,?,0.3125,64200,0.312013,64200,'Very Low'
Bolivia,2016.4,3.072459,148.96595,621.535804,12834.5,1.33436,319.811443,18.206396,16675015771.1304,1490,98.784,98.82139,59,86,25,1.624282,9618466,2.328187,6307790.0028,'Very Low'
Brazil,3830.8,2.726448,135.435781,1297.910085,393219.744,2.052903,214.218662,28.028685,1652632229227.61,7480,102.527,?,22,97,80,0.915285,191543237,1.454243,163922702.2246,Low
Barbados,2484.2,7.7882,?,?,1353.123,4.971427,267.479199,0.087292,3670215312.5,11610,?,?,18.9,100,100,0.206694,272180,1.418831,108436.512,'Very Low'
'Brunei Darussalam',1221.2,1.543688,201.482503,9433.509663,10593.963,27.538603,588.174169,42.856587,14393099068.5859,33680,101.122,105.70779,7.7,?,?,1.884581,384695,2.474395,287828.799,'Very Low'
Bhutan,2742.2,2.281106,?,?,733.4,1.045678,242.35964,28.348251,1257625054.71579,1740,97.775,84.48692,61.7,92,65,1.839263,701363,5.261425,241829.9624,'Very Low'
Botswana,538.2,6.644324,88.458913,1110.352758,4840.44,2.476154,197.268729,30.933088,13473345712.5461,6450,?,?,51.8,95,60,1.405456,1954822,2.689258,1164682.9476,'Very Low'
'Central African Republic',946.7,5.906207,?,?,260.357,0.061434,87.826239,14.662784,1982983854.75983,420,68.645,35.46239,162.3,67,34,1.834125,4237961,2.24971,1635005.3538,'Very Low'
Canada,3386.9,3.860791,222.910657,8001.482766,544091.125,16.333481,455.02904,8.034367,1499107812265.71,43430,?,?,6,100,100,1.011966,33311400,1.136421,26782365.6,Medium
Switzerland,6416.4,3.184256,91.928586,3501.146296,40392.005,5.281606,138.677598,22.829501,502447278285.27606,56780,97.26,94.00919,4.7,100,100,1.270618,7647675,1.352306,5619511.59,'Very Low'
'Channel Islands',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.671974,151705,1.12286,47210.596,'Very Low'
Chile,5868.3,8.872996,130.194675,1743.844948,73108.979,4.352867,324.983064,16.496433,170741003929.264,9490,98.531,?,9,96,96,0.971259,16795593,1.28836,14854022.4492,'Very Low'
China,5548.4,3.873382,279.840202,1598.516237,7031916.207,5.308489,929.317163,16.599298,4521826899540.68,3050,104.003,?,20.9,89,55,0.512387,1324655000,2.622665,570926305,'Very High'
'Cote d Ivoire',1728.3,1.905474,326.669924,541.320704,7014.971,0.369462,222.958423,22.592524,23414005259.4684,1070,?,?,127.7,80,23,1.808282,18987007,3.170532,9261862.0146,'Very Low'
Cameroon,1510.9,-0.101949,166.892664,340.917516,5302.482,0.282667,138.37658,9.153944,23735512829.1016,1160,84.248,72.70164,138.7,74,47,2.203103,18758778,3.658319,10647482.3928,'Very Low'
Congo,776.3,21.063467,98.626021,338.655161,1936.176,0.504694,146.98116,9.447633,11789245042.5775,1870,?,73.06955,95,71,30,2.794623,3836339,3.416048,2353210.3426,'Very Low'
'Cook Islands',?,?,?,?,69.673,3.480344,?,0.807103,?,?,?,?,10,?,100,0.792381,20019,?,?,'Very Low'
Colombia,4154.4,4.331309,82.819126,683.29036,67700.154,1.504255,182.325197,20.41021,244645672494.99,4640,104.307,110.47104,20.5,92,74,1.462579,45005782,1.866077,33529307.59,'Very Low'
Comoros,1290.5,1.41871,?,?,124.678,0.178869,179.291902,0,530138454.667262,690,?,81.01795,89.9,95,36,2.679939,697034,2.893843,195727.1472,'Very Low'
'Cape Verde',336.8,13.628614,?,?,308.028,0.63202,189.723219,2.468916,1550552391.53712,2900,100.8,91.98827,37.6,84,54,0.896137,487371,2.145098,290570.5902,'Very Low'
'Costa Rica',3757.8,7.00602,104.690827,1085.32318,8016.062,1.772632,170.988992,20.915233,29663614222.9414,6060,102.029,92.8693,10.3,97,95,1.54918,4522124,2.374582,2860695.6424,'Very Low'
Cuba,2674.2,0.038623,?,935.999815,31418.856,2.788597,?,6.249162,62704800000,5520,98.788,89.90873,6.3,94,91,-0.015815,11266905,0.010623,8524540.323,'Very Low'
Curacao,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.02306,141279,?,?,'Very Low'
'Cayman Islands',?,?,?,?,557.384,10.080188,?,8.694005,?,?,100.857,83.83838,?,95,96,1.120277,55295,1.120277,55295,'Very Low'
Cyprus,1327.5,15.32402,123.995958,2401.262394,8555.111,7.943457,410.182804,10.979422,25371874080.6119,27460,100.065,100.24621,4.2,100,100,1.305983,1077001,1.592516,752823.699,'Very Low'
'Czech Republic',5363.5,3.04164,184.358595,4281.345018,116995.635,11.223318,483.286228,15.124752,216084641518.276,17140,100.619,95.28029,4.5,100,98,0.868816,10424336,0.868816,7661886.96,'Very Low'
Germany,7118.7,0.131693,120.751586,4076.282653,786659.508,9.580545,283.804178,40.471816,3634525945728.2,42680,98.136,103.51328,4.4,100,100,-0.190143,82110097,-0.081447,60465875.4308,Medium
Djibouti,1500,23.170138,?,?,524.381,0.612855,302.492861,0.002574,982534421.931004,1200,79.972,41.52718,94.5,92,56,1.909456,855636,2.368699,746970.228,'Very Low'
Dominica,1351.1,15.102806,?,?,128.345,1.883024,214.456002,21.666967,374422222.222222,5140,98.227,90.0149,12.9,?,?,-0.402657,68159,0.058361,50383.1328,'Very Low'
Denmark,6017.3,0.763233,102.860689,3497.97902,46024.517,8.377811,246.355791,4.951369,341466969261.278,58620,102.026,?,4.3,100,100,0.587548,5493621,0.887952,4761870.6828,'Very Low'
'Dominican Republic',4250.1,6.307885,109.187918,843.800815,21616.965,2.236635,289.420868,22.13278,45498608625.3681,4460,102.927,?,28.8,86,83,1.3856,9664948,2.463542,6670747.1096,'Very Low'
Algeria,1034,1.517639,147.053494,1083.368353,111304.451,3.23296,438.83331,6.317327,170989269622.037,4260,?,113.855,38.1,83,95,1.526117,34428028,2.512257,22453959.8616,'Very Low'
'East Asia & Pacific',4910.120895,3.67089,264.115931,1371.646408,8259297.797128,4.26969,827.140455,14.912831,5899338815849.7,2730.637651,102.216,?,26.887257,87.895938,58.983652,0.705225,1934402219,2.737712,855004868.2678,'Very High'
'Europe & Central Asia',2553.295711,4.869577,278.573734,3058.470211,3110254.407717,7.737926,707.995608,7.477698,3330888968055.82,6960.180371,97.064,95.363723,24.835138,95.478895,89.010492,0.330705,401949352,0.48265,255876096.5468,'Very High'
Ecuador,2991.5,1.845716,108.227946,784.726331,26824.105,1.908274,263.185416,25.094856,54208500000,3570,101.607,?,22.3,94,92,1.483691,14056740,2.495194,9218410.092,'Very Low'
Egypt,7500.4,5.830762,173.078089,902.791261,210320.785,2.68529,514.808813,5.879998,162836363636.364,1880,?,?,25.5,99,94,1.779878,78323298,1.873555,33459712.9056,Low
'Euro area',5898.003886,2.912732,121.681484,3740.249772,2633269.033,7.991142,259.975677,15.451629,13551720568313.7,38508.383354,99.385,100.472804,4.494209,99.953493,99.875401,0.522439,329523510,0.780314,241234651.2532,High
Eritrea,252.2,-0.016906,279.469631,136.885523,414.371,0.083753,170.993188,4.961001,1380162601.62602,250,77.213,46.89775,66.2,61,14,3.057056,4947521,5.20348,1025126.3512,'Very Low'
Spain,3580.8,4.887219,107.520439,3047.076815,329285.599,7.228195,255.057141,8.571968,1593912183689.16,31810,102.586,100.21597,5.1,100,100,1.496735,45555716,1.678435,35132568.1792,Low
Estonia,2794,7.435088,217.62363,4057.87234,18290.996,13.643125,731.680554,19.950488,23517187207.7801,14410,101.15,100.03059,6.6,98,95,-0.074338,1340675,-0.04554,931232.855,'Very Low'
Ethiopia,1421.7,0.407386,490.413922,399.065237,7106.646,0.089452,109.928234,18.398678,26642461516.1887,290,85.096,52.06519,111.9,38,12,2.199032,79446419,3.979494,13505891.23,'Very Low'
Finland,3542.2,-0.806881,197.488022,6640.659397,56512.137,10.635779,316.299755,9.06602,270478631852.639,48110,102.221,97.85745,3.3,100,100,0.465549,5313399,0.94061,3363381.567,'Very Low'
Fiji,2009.3,8.678182,?,?,1254.114,1.486532,348.531562,1.338939,3565203889.58595,4070,102.764,91.84866,18.2,?,?,0.998747,843651,1.996836,441735.6636,'Very Low'
France,7289,2.349681,137.124228,4162.755972,376985.935,5.873133,193.465292,15.103969,2831794060131.1,42080,99.562,?,4.3,100,100,0.565627,64188219,0.850417,49656006.2184,Low
'Faeroe Islands',?,?,?,?,707.731,14.563265,?,?,2412859692.82674,?,?,?,?,?,?,0.051457,48597,1.363748,20128.8774,'Very Low'
Micronesia,1405.5,2.205246,?,?,62.339,0.564834,196.767704,4.025693,261800000,2480,?,?,43.8,?,?,0.24948,110367,0.605036,24876.7218,'Very Low'
Gabon,1881.2,1.438259,102.063968,1371.923244,2471.558,1.704158,126.780541,14.888959,14532816809.5484,7500,?,?,76.5,87,33,1.856246,1450310,2.422285,1233343.624,'Very Low'
'United Kingdom',7420.1,3.518581,100.104723,3390.309753,522855.528,8.516461,251.463151,24.352378,2657482269112.41,45610,101.28,?,5.6,100,100,0.664934,61393521,0.753921,55217332.7874,Medium
Georgia,2090.5,12.223719,151.856891,685.837078,5203.473,1.187005,262.824607,3.651235,12795044475.201,2460,96.46,99.72638,24.1,98,95,-0.107158,4383700,0.044645,2311963.38,'Very Low'
Ghana,1598.1,4.278064,294.596252,406.57765,8591.781,0.369314,267.595768,13.995378,28526922399.3369,1150,95.648,82.1903,78.8,82,13,2.40035,23264176,3.890811,11636740.8352,'Very Low'
Gibraltar,?,?,?,5420.527879,421.705,14.399051,?,4.677824,?,?,?,?,?,?,?,-0.030726,29287,?,?,'Very Low'
Guinea,1677.7,10.107298,?,?,1393.46,0.145773,145.039398,6.778805,3778260000,350,77.066,54.7133,138.4,71,19,1.959537,9559110,3.363069,3292157.484,'Very Low'
Gambia,976.5,9.564824,?,?,410.704,0.251025,209.373237,1.532912,821917808.219178,410,101.241,79.06152,103.8,92,67,2.773253,1636107,4.273281,923091.5694,'Very Low'
Guinea-Bissau,1427.3,0.60729,?,?,282.359,0.194227,186.630475,16.057116,846854479.422026,500,?,?,154.2,61,21,2.054731,1453757,2.323187,433801.0888,'Very Low'
'Equatorial Guinea',?,-4.309044,?,?,4814.771,7.269477,234.588238,19.164039,18423399315.2788,14410,?,43.32615,127.3,?,?,2.816005,662327,3.22313,260824.3726,'Very Low'
Greece,4404,1.52822,100.636827,2707.107549,97813.558,8.704524,323.591024,13.833928,347042265250.668,27810,?,?,4.6,100,98,0.395286,11237094,0.723694,6854627.34,'Very Low'
Grenada,931,20.964262,?,?,245.689,2.368703,290.198509,1.661471,678487940.517032,5860,93.194,114.37653,11.9,?,97,0.342845,103723,0.602585,31988.1732,'Very Low'
Greenland,?,?,?,?,575.719,10.220832,?,40.494613,1739579593.56673,30010,?,?,?,?,?,-0.401379,56328,-0.114417,47045.1456,'Very Low'
Guatemala,2257.8,1.92609,137.275932,599.207967,11914.083,0.870223,199.364192,30.628887,39136286496.2176,2640,93.778,80.0144,34.6,94,81,2.454895,13690846,3.406298,6651012.9868,'Very Low'
Guam,3000,?,?,?,?,?,?,26.389421,?,?,?,?,?,100,99,1.263517,175538,1.284988,163531.2008,'Very Low'
Guyana,4161.2,8.738164,?,?,1525.472,2.029692,780.181388,4.938496,1922600611.44269,2730,99.615,109.72616,33,94,81,0.201113,751578,0.412753,213297.8364,'Very Low'
'High income',5226.736769,2.855857,150.656988,5097.544945,13284694.507571,11.940689,354.415392,13.375123,44091433965324.7,38503.801226,99.318,97.093855,6.736686,99.55752,99.520992,0.789626,1112556749,1.088834,839880413.4368,'Very Low'
'Hong Kong',?,27.680519,49.933018,2026.239305,38573.173,5.528064,136.229182,41.790708,215365875584.322,32950,101.488,91.98462,?,?,?,0.745134,6977700,0.745134,6977700,'Very Low'
Honduras,1750.7,6.443965,173.259937,629.952968,8672.455,1.187561,326.622518,18.17457,13969292165.0345,1780,107.286,89.72504,26.1,86,71,1.990487,7302742,2.955867,3496552.8696,'Very Low'
Croatia,6641.3,8.615627,118.309709,2048.755977,23303.785,5.255703,303.50156,7.301322,69911233237.787,13720,102.206,99.70618,6,99,99,-0.045096,4434000,0.409848,2539795.2,'Very Low'
Haiti,961,0.465065,272.10315,284.842588,2434.888,0.250083,238.897861,0.268058,6407707284.45521,620,?,?,82.9,63,17,1.322122,9736332,4.312594,4560497.9088,'Very Low'
Hungary,5665,46.484306,151.109238,2635.705169,54638.3,5.443044,312.058518,5.116318,155443541077.615,13010,98.39,95.42391,7.1,100,100,-0.175097,10038188,0.419258,6775776.9,'Very Low'
Indonesia,4694.2,1.826336,228.682482,816.352794,406028.575,1.72814,484.098826,14.111434,510226662255.498,1950,98.036,106.39789,38.5,80,52,1.065196,234951154,3.265678,120905863.8484,Low
'Isle of Man',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.73006,81798,0.494304,41586.1032,Low
India,2672.6,3.576116,195.293836,543.020424,1742697.746,1.528729,549.797739,5.33466,1213782569748.8298,1080,?,94.83933,66.8,88,31,1.340382,1139964931.64188,2.29277,336745640.807011,High
Ireland,7597.4,-6.196987,86.436235,3367.080064,43604.297,9.852558,252.924782,0.954739,263652850517.45,49940,102.842,?,4.4,100,99,1.565671,4425683,2.023188,2714713.9522,'Very Low'
Iran,1897.1,0.477679,275.321771,2862.745825,538403.608,7.447903,716.294737,7.079823,338187289004.755,4100,?,97.05721,28.5,?,?,1.188108,72289291,1.950575,49489248.6186,Medium
Iraq,733.7,2.144572,352.914083,1138.90431,102936.357,3.41094,1056.953518,0.05335,86530068728.5223,2100,?,?,39.5,79,73,3.0236,30178292.147128,2.828753,20098742.569987,'Very Low'
Iceland,?,7.160503,451.029823,16541.775095,2229.536,7.024063,191.518865,9.650906,16863767020.3041,46950,101.882,94.61738,2.6,100,100,1.859572,317414,1.881252,292846.1564,'Very Low'
Israel,2442.9,5.380516,118.602996,3052.841506,37663.757,5.153207,200.202254,18.742815,202101449275.36197,24700,101.369,99.14138,4.9,100,100,1.776579,7308800,1.798401,6699246.08,'Very Low'
Italy,5353,-0.413175,104.465985,2942.621896,445118.795,7.439455,264.108,9.909226,2296497394246.16,35360,99.086,104.00944,4,100,?,0.76655,59832179,1.001844,40733747.4632,Low
Jamaica,1253.4,10.173026,216.668554,1591.112682,12203.776,4.541447,618.428058,18.887774,14121426276.6738,4880,100.082,?,25.1,94,83,0.425136,2687200,0.801076,1432277.6,'Very Low'
